Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US00601,601,4044,21001,3364,6025,283
860Z200US00602,602,9648,45695,7510,17381,1359
860Z200US00603,603,9360,68058,8954,24178,2883
860Z200US00606,606,1710,6420,991,1163,129
860Z200US00610,610,5378,33781,5143,12085,1014
860Z200US00611,611,345,1659,213,651,57
860Z200US00612,612,9034,90601,13731,36863,3146
860Z200US00616,616,1707,14562,1974,4619,264
860Z200US00617,617,3829,31742,4541,10652,848
860Z200US00622,622,1778,10282,1890,3743,430
860Z200US00623,623,7097,52386,9050,23891,2079
860Z200US00624,624,4260,26835,4309,10818,512
860Z200US00627,627,6928,41272,8259,14450,1547
860Z200US00631,631,392,1597,267,937,59
860Z200US00636,636,157,1074,214,408,44
860Z200US00637,637,3593,31602,4489,11765,781
860Z200US00638,638,4461,21821,3651,5771,352
860Z200US00641,641,4902,31595,6159,10927,793
860Z200US00646,646,4786,50247,7728,23231,2635
860Z200US00647,647,748,6433,765,1477,57
860Z200US00650,650,2370,19014,3119,5557,329
860Z200US00652,652,634,5489,962,2384,153
860Z200US00653,653,2168,11647,1623,2573,241
860Z200US00656,656,3087,24844,4190,9162,780
860Z200US00659,659,6368,50945,8736,22599,2351
860Z200US00660,660,2414,23232,3186,9623,775
860Z200US00662,662,7342,57175,8110,21969,2003
860Z200US00664,664,2267,21028,3171,5997,495
860Z200US00667,667,5114,30884,5456,10124,716
860Z200US00669,669,6948,32788,6295,11183,1111
860Z200US00670,670,2239,10584,1180,3162,189
860Z200US00674,674,7228,54127,7769,19056,1725
860Z200US00676,676,7659,47500,6344,17510,1528
860Z200US00677,677,3228,20546,3684,7764,619
860Z200US00678,678,5041,33250,5962,10689,966
860Z200US00680,680,8621,54731,9616,21108,2191
860Z200US00682,682,4988,36185,7812,16013,2287
860Z200US00683,683,6064,40323,4892,14383,1331
860Z200US00685,685,9315,49802,8513,17556,1455
860Z200US00687,687,5105,38388,6994,10974,852
860Z200US00688,688,2495,15106,2472,4883,260
860Z200US00690,690,919,7415,1219,3120,219
860Z200US00692,692,5884,44640,7323,15370,1863
860Z200US00693,693,9832,75606,11934,28410,2321
860Z200US00694,694,23,187,26,24,12
860Z200US00698,698,5347,49009,5759,19301,1672
860Z200US00703,703,4737,32312,5432,9439,596
860Z200US00704,704,920,9410,1164,2775,170
860Z200US00705,705,3681,36571,4846,11228,1408
860Z200US00707,707,2022,14558,2903,3058,369
860Z200US00714,714,2625,21617,3250,8037,573
860Z200US00715,715,546,2554,196,456,46
860Z200US00716,716,3926,39086,4902,19687,2322
860Z200US00717,717,2117,21292,2894,9662,1084
860Z200US00718,718,3902,32483,3754,10505,974
860Z200US00719,719,6244,36687,7657,11189,861
860Z200US00720,720,4205,26724,4534,7501,568
860Z200US00723,723,2533,23030,4575,6451,827
860Z200US00725,725,10352,113266,18010,46653,4735
860Z200US00727,727,5522,77953,11643,42506,5516
860Z200US00728,728,5863,52963,7567,21005,1900
860Z200US00729,729,6998,67153,11304,25152,2640
860Z200US00730,730,5220,44939,6469,19025,2455
860Z200US00731,731,2634,14079,1668,4631,322
860Z200US00735,735,1884,16520,2252,5271,353
860Z200US00736,736,7446,65865,9281,25559,2573
860Z200US00738,738,3629,45520,6196,18561,1454
860Z200US00739,739,5478,48851,6727,18648,1970
860Z200US00740,740,262,2677,338,898,0
860Z200US00741,741,540,5596,830,1547,66
860Z200US00745,745,7167,68221,10489,25963,1871
860Z200US00751,751,3721,28132,2999,7963,670
860Z200US00754,754,7442,47595,9433,14336,1739
860Z200US00757,757,2573,29443,3630,10780,858
860Z200US00765,765,1742,12039,767,2156,469
860Z200US00766,766,3401,30581,4648,9848,616
860Z200US00767,767,5894,40722,8719,12080,803
860Z200US00769,769,4850,53124,6313,16749,1322
860Z200US00771,771,5271,47851,9085,19371,2111
860Z200US00772,772,3397,24212,3261,4396,186
860Z200US00773,773,2763,25892,3759,8083,890
860Z200US00775,775,136,1786,283,370,11
860Z200US00777,777,5880,51278,9814,16605,1354
860Z200US00778,778,5340,57464,9304,27068,3100
860Z200US00780,780,2076,17642,2599,8056,1014
860Z200US00782,782,3759,24205,4674,6353,521
860Z200US00783,783,6265,44718,8210,14504,1180
860Z200US00784,784,5784,51651,6547,15983,1749
860Z200US00786,786,87,149,0,0,0
860Z200US00791,791,6955,68682,9453,23382,2641
860Z200US00794,794,4461,37770,6753,13002,799
860Z200US00795,795,7951,56328,8705,22856,2057
860Z200US00901,901,993,13484,1175,7437,1489
860Z200US00906,906,0,260,31,206,91
860Z200US00907,907,1280,27651,2725,21707,4286
860Z200US00909,909,512,7488,1228,3830,521
860Z200US00911,911,741,10618,1245,8495,1504
860Z200US00912,912,948,8722,1288,5257,710
860Z200US00913,913,915,8024,980,2844,323
860Z200US00915,915,6264,29323,4459,6732,428
860Z200US00917,917,3179,27433,3761,11066,1638
860Z200US00918,918,1149,24973,2564,20066,3463
860Z200US00920,920,2338,24831,4484,13106,1240
860Z200US00921,921,4210,46522,8998,20153,2484
860Z200US00923,923,3847,34238,5911,11533,1488
860Z200US00924,924,5843,66023,11201,27317,3497
860Z200US00925,925,1174,6572,1496,4158,587
860Z200US00926,926,8423,138161,20135,93392,14204
860Z200US00927,927,744,20862,2701,18174,3079
860Z200US00934,934,0,148,34,110,10
860Z200US00949,949,7963,98379,18632,41059,3600
860Z200US00950,950,0,0,0,0,0
860Z200US00951,951,72,357,60,128,19
860Z200US00952,952,1859,11258,2220,2784,113
860Z200US00953,953,7573,95396,17685,37202,3471
860Z200US00956,956,9641,92271,18561,37475,3080
860Z200US00957,957,5503,58222,10971,24943,2066
860Z200US00959,959,4780,69094,13088,34117,3356
860Z200US00960,960,1204,5608,313,247,17
860Z200US00961,961,3234,43780,7815,22471,2818
860Z200US00962,962,3774,26842,3674,6584,444
860Z200US00965,965,1361,6716,926,1409,59
860Z200US00966,966,933,24906,2637,21718,3093
860Z200US00968,968,120,6073,486,5898,970
860Z200US00969,969,2836,64230,8432,48552,7695
860Z200US00971,971,4715,37347,6209,16941,1886
860Z200US00976,976,6554,91126,15143,47009,4995
860Z200US00979,979,1290,27644,4535,18205,2628
860Z200US00982,982,1552,20465,3413,8514,610
860Z200US00983,983,2674,48466,8075,19732,1636
860Z200US00985,985,3724,51476,8292,19076,1397
860Z200US00987,987,5443,78960,12839,40703,3858
860Z200US01001,1001,838,26656,4034,11593,1671
860Z200US01002,1002,501,25631,7359,21101,5736
860Z200US01003,1003,0,203,11745,92,37
860Z200US01005,1005,349,7854,1054,2952,608
860Z200US01007,1007,279,25167,3650,13154,2514
860Z200US01008,1008,65,2228,246,837,126
860Z200US01009,1009,33,1034,161,543,21
860Z200US01010,1010,133,6069,846,3130,318
860Z200US01011,1011,91,2258,241,464,120
860Z200US01012,1012,25,817,113,171,42
860Z200US01013,1013,2490,32342,5815,9882,1435
860Z200US01020,1020,3691,47700,7058,13268,1642
860Z200US01022,1022,152,3673,589,1282,158
860Z200US01026,1026,21,1742,285,1155,237
860Z200US01027,1027,929,29729,4165,14360,2498
860Z200US01028,1028,667,24511,3738,12931,2120
860Z200US01029,1029,60,873,90,390,57
860Z200US01030,1030,372,21345,3078,7939,1242
860Z200US01031,1031,101,2405,444,604,125
860Z200US01032,1032,3,864,150,441,68
860Z200US01033,1033,358,10155,1624,4948,745
860Z200US01034,1034,61,3528,545,1585,240
860Z200US01035,1035,155,8619,955,6529,1025
860Z200US01036,1036,172,8883,1550,3755,638
860Z200US01037,1037,57,1015,133,526,63
