zip,Year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",State,City,Metro,CountyName,HomePrice
99577,2022,2156.0,3830.0,56.0,488.0,0.0,322.0,2464.0,870.0,8.0,50.0,66.0,152.0,0.0,0.0,0.0,1252.0,16.0,0.0,400.0,44.0,224.0,0.0,70.0,316.0,3434.0,122.0,0.0,0.0,1208.0,290.0,296.0,AK,Eagle River,"Anchorage, AK",Anchorage Borough,421193.9974632655
99701,2022,162.0,652.0,8.0,26.0,0.0,110.0,390.0,32.0,0.0,6.0,0.0,22.0,0.0,0.0,0.0,148.0,0.0,0.0,44.0,16.0,0.0,0.0,4.0,18.0,452.0,0.0,0.0,0.0,98.0,54.0,2.0,AK,Fairbanks,"Fairbanks, AK",Fairbanks North Star Borough,236133.5624647099
99801,2022,116.0,1554.0,2.0,36.0,0.0,38.0,334.0,74.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,122.0,84.0,0.0,20.0,4.0,2.0,0.0,12.0,18.0,362.0,2.0,0.0,0.0,80.0,38.0,12.0,AK,Juneau,"Juneau, AK",Juneau Borough,472938.4739336625
99901,2022,8.0,24.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,4.0,6.0,0.0,AK,Ketchikan,"Ketchikan, AK",Ketchikan Gateway Borough,386640.9335621988
99615,2022,8.0,124.0,0.0,2.0,0.0,6.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,62.0,2.0,0.0,0.0,12.0,10.0,0.0,AK,Kodiak,,Kodiak Island Borough,459772.0736162829
99835,2022,8.0,30.0,0.0,0.0,0.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,58.0,0.0,0.0,0.0,6.0,0.0,0.0,AK,Sitka,,Sitka Borough,588573.533119711
99929,2022,4.0,20.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,Wrangell,,Wrangell Borough,298297.94434762566
99645,2022,0.0,76.0,0.0,0.0,0.0,10.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,Palmer,"Anchorage, AK",Matanuska Susitna Borough,366367.9261497548
99669,2022,12.0,94.0,0.0,4.0,0.0,2.0,62.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,64.0,10.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,74.0,0.0,0.0,0.0,2.0,4.0,0.0,AK,Soldotna,,Kenai Peninsula Borough,339197.36588897585
99827,2022,2.0,12.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,,,Haines Borough,290877.96476889827
99603,2022,24.0,180.0,0.0,2.0,0.0,28.0,174.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,44.0,0.0,0.0,0.0,10.0,4.0,2.0,AK,Homer,,Kenai Peninsula Borough,366673.0225532467
99611,2022,30.0,368.0,0.0,16.0,0.0,10.0,140.0,110.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,32.0,12.0,0.0,AK,Kenai,,Kenai Peninsula Borough,310672.5213491242
99709,2022,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,Fairbanks,"Fairbanks, AK",Fairbanks North Star Borough,298939.9255060815
99705,2022,8.0,22.0,0.0,0.0,0.0,2.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,6.0,0.0,AK,North Pole,"Fairbanks, AK",Fairbanks North Star Borough,308285.47326387296
